input_name,sponsor_level,input_description,queried_as,match_confidence,match_score,confidence_notes,matched_name,domain,website_url,linkedin_url,twitter_url,facebook_url,industry,estimated_num_employees,annual_revenue,founded_year,city,state,country,phone,short_description,keywords,technologies,total_funding,latest_funding_stage,latest_funding_date,apollo_id,error
Acelab,Silver Sponsor,The building products platform for architects. Acelab provides a data-driven workflow for product research and specification.,Acelab,medium,0.3,name:exact; class_mismatch: industry/keywords don't match description; desc_overlap:7,ACELAB,gabia.io,http://www.gabia.io,http://www.linkedin.com/company/acelab-ai,,,automotive,4,,2020,Seoul,,South Korea,,"ACELAB is a technology company based in New York, founded in 2019 or 2020 by a team of architects, including CEO Vardhan Mehta. The company focuses on improving the architecture and construction industry through its AI-powered platform, Materials Hub. This platform addresses inefficiencies in the building materials market by offering data-driven tools for architects, designers, and building professionals.

Materials Hub enables users to discover and compare building materials effectively. It interprets natural language queries to suggest suitable materials from a comprehensive database of over 100,000 products. The platform also facilitates collaboration among teams and integrates with design software like Revit, streamlining workflows. With over 20,000 architecture and design firms using Materials Hub, including many of the top firms in the U.S., ACELAB is committed to enhancing material selection and specification processes for better project outcomes.",machine learning; planning; localization; self driving; autonomous driving; adas; autonomous driving integration; control; ai; motor vehicle manufacturing; artificial intelligence; information technology & services; automotive,AI; Basis; Deel; DoubleClick; DoubleClick Conversion; Gmail; Google Apps; Google Cloud Hosting; Google Dynamic Remarketing; Google Tag Manager; Mobile Friendly; Remote; Shutterstock; Varnish; Wix,,,,60a3a23835284100a4564fd7,
Advance2000,Exhibitor,"Specializes in IT cloud solutions for the AEC industry, including virtual desktops, high-performance computing, and project collaboration.",Advance2000,high,0.8,"name:exact; class_overlap:3 (cloud,computing,virtual); desc_overlap:4",Advance2000,advance2000.com,http://www.advance2000.com,http://www.linkedin.com/company/advance2000,https://twitter.com/Advance2000,https://facebook.com/Advance2000,information technology & services,200,35800000.0,1992,Buffalo,New York,United States,+1 800-238-2621,"Advance2000 is a privately-held Managed Security Service Provider and full-service IT engineering firm founded in 1989. Based in Amherst, New York, with operations in Rochester, Pittsburgh, and Toronto, the company specializes in high-performance private cloud computing solutions. With over three decades of experience, Advance2000 serves more than 3,000 customers, ranging from small businesses to large enterprises.

The company offers a wide array of IT solutions, including managed security services, IT strategy and audit services, business continuity, and 24/7 help desk support. Their flagship product, Advance2000 Private Cloud Computing, features a proprietary platform designed for speed, stability, and security, with data stored in US-based datacenters. Advance2000 is committed to client-first service, guided by core values of teamwork, trust, and transparency. They maintain a strong customer satisfaction rating, reflecting their dedication to quality support and service.",outsourcing managed services; it strategy audit; video conferencing telepresence; video conferencing amp telepresence; ip telephony; private business bim cloud computing; 24 7 365 service desk; it strategy amp audit; outsourcing amp managed services; datacenter services; data infrastructure; storage systems; virtualization; it teaming; it services & it consulting; modules; virtual host management; environment variables; a2dismod; custom virtual hosts; apache2; a2disconf; configuration files; document root; bug reporting,Apache; Barracuda Networks; Bluekai; Bootstrap Framework; Google Cloud Hosting; Google Tag Manager; Linkedin Marketing Solutions; LiveChat; Mobile Friendly; Remote; Slack; Sophos; Twitter Advertising; Woo Commerce; WordPress.org; YouTube; reCAPTCHA,,,,54a13bef69702d048653cb01,
"aec+tech, AI in AEC and Neostack",Exhibitor,"A community and platform showcasing the latest technology, AI innovations, and startups transforming the AEC industry.",aec+tech,high,0.76,"name:exact; class_overlap:2 (aec,technology); desc_overlap:5",aec+tech,aecplustech.com,http://www.aecplustech.com,http://www.linkedin.com/company/aec-plus-tech,,,information technology & services,4,,2021,San Francisco,California,United States,,"aec+tech is a platform designed for the Architecture, Engineering, and Construction (AEC) industry. It serves as a directory and resource hub, showcasing the latest software tools, automation products, and construction technologies. The platform aims to help AEC professionals stay informed and competitive by highlighting innovations in development, construction, and design.

Users can explore over 542 tools across various categories, including architecture software, engineering automation products, and construction technology solutions. Notable offerings include AI-driven blueprint generators and firm management platforms for project management and resource tracking. The platform also features articles and interviews that discuss industry innovations and trends, promoting a commitment to sustainability and efficiency in AEC practices.","technology, information & internet; ai in aec; construction; aec tools comparison; generative design; b2b; building information modeling; project management; workflow automation; construction technology; real-time model checking; custom web apps for engineers; energy efficiency tools; data security; digital construction solutions; sustainability tools; cloud collaboration platforms; services; energy modeling software; bim tools; project management software; consulting; construction automation; architectural services; engineering",AI; Gmail; Google Apps; Google Tag Manager; Hotjar; Mobile Friendly; Remote; Route 53; Slack; Vercel; Vimeo; Wistia; YouTube,,,,60b1dc3c8666c40001fad8e6,
"aec+tech, AI in AEC and Neostack",Exhibitor,"A community and platform showcasing the latest technology, AI innovations, and startups transforming the AEC industry.",AI in AEC,high,0.64,"name:exact; class_overlap:2 (aec,technology); desc_overlap:2",AI in AEC,aiinaec.com,http://www.aiinaec.com,http://www.linkedin.com/company/aiinaec,,,information technology & services,4,,2024,Zagreb,,Croatia,,"AI in AEC is a professional services firm focused on integrating artificial intelligence into the Architecture, Engineering, and Construction (AEC) industry. The company aims to empower AEC professionals by providing AI-driven tools, training, and solutions tailored to their specific needs. Their mission is to equip experts with the knowledge and resources to leverage AI, fostering innovation and efficiency within the sector.

The firm offers a variety of services, including AIA certified training courses, consulting for AI integration, and comprehensive implementation support. They assist AEC firms in developing AI adoption plans, conducting technology audits, and mapping workflows to identify areas for improvement. Additionally, AI in AEC shares insights and thought leadership through platforms like LinkedIn and maintains the AEC AI Hub to promote knowledge sharing in the industry.","construction; artificial intelligence; architecture; bim; ai; buildinginformationmodelling; engineering; informationtechnology; technology, information & internet; ai for asset management; ai tools database; ai use cases; ai education platform; ai for construction safety; ai for structural analysis; b2b; information technology; ai for construction cost estimation; computer systems design and related services; ai for construction documentation; ai for construction site management; ai for project scheduling; ai training for architects; ai data integration; ai tool comparison","CloudFlare Hosting; Cloudflare DNS; Google Font API; Google Tag Manager; Microsoft Office 365; Mobile Friendly; Outlook; Ruby On Rails; Square, Inc.; Wistia; YouTube",,,,65cc6641cc8f1c06e3b4314f,
"aec+tech, AI in AEC and Neostack",Exhibitor,"A community and platform showcasing the latest technology, AI innovations, and startups transforming the AEC industry.",Neostack,high,0.64,"name:exact; class_overlap:3 (community,startups,technology)",neostack,neostack.com,http://www.neostack.com,http://www.linkedin.com/company/neostack,,,information technology & services,3,,2018,Bengaluru,Karnataka,India,+91 93942 80308,"We are experts in react, and react-native.
We offer various services like training, consulting and development",software development; nodejs; digital solutions; graphql; project management; system integration; react day events india; services; web application development; react community bangalore; product development; community react bangalore; react native; tech innovation; newsletter subscription; computer systems design and related services; node.js backend; application development services; custom app solutions; react and node.js integration; mobile app development; software consulting; data analytics; software engineering; graphql api services,AI; Active Campaign; Amazon AWS; AngularJS; Bootstrap Framework; Facebook Custom Audiences; Facebook Login (Connect); Facebook Widget; Gmail; Google AdSense; Google Analytics; Google Apps; Google Font API; Google Tag Manager; MailChimp; Mobile Friendly; Route 53; Ruby On Rails; Slack; Squarespace ECommerce; Stripe; Typekit; Vercel; Wix; WordPress.org; YouTube; reCAPTCHA,,,,5a9cffd5a6da98d98c68264a,
AkitaBox,Silver Sponsor,Facility management software that automates maintenance and improves capital planning through location-based data and automated workflows.,AkitaBox,high,1.0,"name:exact; class_overlap:8 (automated,capital,data,facility,maintenance); desc_overlap:5",AkitaBox,akitabox.com,http://www.akitabox.com,http://www.linkedin.com/company/akitabox,https://twitter.com/AkitaBox,https://www.facebook.com/akitabox,information technology & services,43,5000000.0,2015,Madison,Wisconsin,United States,+1 628-400-1778,"AkitaBox is a facility management software company based in Madison, Wisconsin, founded in 2015. The company provides cloud-based tools designed to assess, optimize, and manage building operations through data-driven insights. AkitaBox manages over 500 million square feet across various sectors, including education, healthcare, government, and commercial real estate.

The AkitaBox Pulse suite is a customizable platform that integrates multiple facility management functions. Key features include mobile facility condition assessments, asset management, capital management, work order and preventive maintenance, and tools for inspections and occupant experience. The platform aims to enhance operational excellence and compliance while supporting strategic alignment for owners, operators, and service providers. AkitaBox serves a diverse range of clients, including educational institutions and government entities, helping them streamline operations and improve efficiency.",facility management; facility maintenance; capital management software; facility management software; inspections software; facility software innovation; construction transition; preventive maintenance; cmms; facility condition assessment; asset tracking software; software; data collection; eam; work order optimization; facility information management; facility assessment software; iwms; preventative maintenance; locationbased information; enterprise software; saas; building owners; real estate; information technology,AI; Amazon AWS; Atlassian Cloud; Circle; Gmail; Google Apps; Hubspot; React; Remote; Route 53; Salesforce CRM Analytics; Sendgrid; Slack; Zendesk,1100000,Seed,2016-04-01T00:00:00.000+00:00,556d926c7369641271633501,
Aktion Associates,Silver Sponsor,"A national provider of industry-specific software and IT infrastructure solutions for the Architecture, Engineering, and Construction market.",Aktion Associates,low,,name:mismatch ('aktion legal partners' vs 'aktion associates'); class_mismatch: industry/keywords don't match description,AKTION LEGAL PARTNERS,aktionlegal.com,http://www.aktionlegal.com,http://www.linkedin.com/company/aktion-legal,https://twitter.com/AktionLegal,https://facebook.com/AktionAssociatesInc,law practice,26,65000000.0,2017,Valencia,Valencian Community,Spain,+34 963 92 64 26,"AKTION Legal Partners is a Spanish law firm established in 2017, focusing on legal services for startups, venture capital, investors, and growing businesses. With a team of 3 partners and 20 lawyers fluent in both Spanish and English, the firm has quickly gained recognition in Spain's venture capital and startup sectors. It aims to be an innovative legal partner, offering tailored strategies and expertise in technology integration for businesses in the entrepreneurial ecosystem.

The firm provides a wide range of legal and tax services, primarily in venture capital, mergers and acquisitions, corporate law, and tax advisory. AKTION assists clients with investment operations, fund-related services, complex corporate transactions, and general support for business growth. The firm is dedicated to helping new businesses establish themselves and existing ones expand, combining industry knowledge with a proactive approach to legal solutions.",blockchain; pacto de socios; stock options; phantom shares; nuevas tecnologias; ma; it ip; inversores; propriedad intelectual; equity; startups; derecho mercantil; venture capital; corporate law; derecho concursal; asesoramiento corporativo; legal for fintech; tax optimization; financial services; legal services; regulatory compliance; legal support; legal for digital assets; blockchain legal framework; offices of lawyers,AI; Acumatica; Apache; Bootstrap Framework; C#; Cisco Meraki MS; Deltek Vantagepoint; Deltek Vision; Google Font API; Google Tag Manager; Gravity Forms; Hubspot; Javascript; Microsoft 365; Microsoft Office 365; Microsoft SQL Server Reporting Services; Microsoft Teams; Mobile Friendly; Nginx; OneTrust; Outlook; Phocas Software; PowerBI Tiles; Remote; SAP Crystal Reports; SQL; Sage; Sage Intacct; Slack; SonicWall; TypeScript; Typeform; Typekit; Visio; Webex; Wistia; WordPress.org; Workable; YouTube,,,,5b8390fc324d441bf2a91e60,
Apryse,Silver Sponsor,"Provider of document processing technology, offering powerful SDKs for viewing, annotating, and editing PDFs and other documents in AEC workflows.",Apryse,high,1.0,"name:exact; class_overlap:7 (document,editing,processing,sdks,technology); desc_overlap:8",Apryse,apryse.com,http://www.apryse.com,http://www.linkedin.com/company/aprysesolutions,https://twitter.com/aprysesolutions,https://facebook.com/aprysesolutions,information technology & services,670,77600000.0,1998,Denver,Colorado,United States,+1 604-730-8989,"Apryse, formerly known as PDFTron, is a leading provider of document processing technology based in Denver, Colorado. Founded in 1998, the company offers a range of SDKs, pre-built components, and SaaS applications designed for creating, editing, converting, viewing, annotating, signing, merging, extracting, and classifying documents across various platforms. Apryse supports major file types, including PDF, MS Office, and CAD formats, and serves a diverse clientele, including over 85% of Fortune 100 companies.

The company specializes in innovative document solutions that facilitate digital transformation for developers, enterprises, startups, governments, and small businesses. Apryse's offerings include a comprehensive document SDK platform for server, mobile, and web environments, as well as end-user SaaS solutions like Xodo and eversign/XodoSign. With a focus on features such as dynamic viewing, data extraction, and electronic signatures, Apryse is committed to providing efficient and secure document handling for millions of users worldwide.",businessready enterprise document solutions; video sdk; pdf development toolkits; dynamic document generation; javascript pdf library; pdf sdk; html5 viewing; electronic document processing technology; mobile pdf libraries; universal document web viewer; redaction; software development; html support; document viewing; annotation; digital signatures; pdf security; security and reliability; signing sdk; innovation; esignature workflows; web sdk; legal; pdf/a validation; document comparison,AI; ASP.NET; AWS SDK for JavaScript; AdRoll; AddThis; Alteryx Machine Learning Cloud; Amazon AWS; Amazon CloudFront; Amazon SES; Android; Apple macOS; Bing Ads; Boomi; Bootstrap Framework; C#; C/C++; Cleverbridge; CloudFlare Hosting; Cloudflare DNS; Cufon; DoubleClick; DoubleClick Conversion; Foxit PDF SDK; Freshdesk; Gem; Google Ads; Google Analytics; Google Dynamic Remarketing; Google Font API; Google Maps; Google Marketing Platform; Google Play; Google Search Console; Google Tag Manager; Google translate API; Google translate widget; Hotjar; Javascript; Jest; Kiosked; Linkedin Marketing Solutions; Litera pdfDocs; MailJet; Marketo; Matomo; Micro; Microsoft Azure Hosting; Microsoft Office 365; Microsoft Windows Server 2012; Microsoft-IIS; Mobile Friendly; NetSuite; Nginx; Optimizely; Outlook; Paddle; Playwright; Postscript; Python; Remote; Route 53; Ruby On Rails; SES; Salesforce; Salesforce CPQ; Salesforce CRM Analytics; Salesforce Sales Cloud; Salesforce Service Cloud; Secured MVC Forum on Windows 2012 R2; Slack; TypeScript; Typekit; Ubuntu; Visual Website Optimizer; Xactly,71000000,Merger / Acquisition,2025-05-01T00:00:00.000+00:00,54a1bb2874686945fa21ea0b,
AVAIL,Exhibitor,"A content management platform that helps AEC firms find, organize, and manage digital assets like Revit families and AutoCAD files.",AVAIL,medium,0.56,name:exact; class_overlap:1 (management); desc_overlap:2,AVAIL,availlogistics.co.uk,http://www.availlogistics.co.uk,http://www.linkedin.com/company/availtech,http://twitter.com/@rentalutions,https://www.facebook.com/rentalutions,logistics & supply chain,16,,2017,Manchester,England,United Kingdom,+44 330 828 1375,"Avail Logistics Limited is a UK-based company focused on logistics recruitment, connecting businesses with HGV drivers and other logistics staff through technology-driven solutions. Founded in mid-2018 by two ex-military servicemen, the company became officially incorporated in March 2024. It operates under the SIC code for temporary employment agency activities and emphasizes technology, speed, transparency, and data-driven results to support UK transport and distribution businesses.

The company specializes in providing staffing services for temporary and flexible roles, including HGV drivers, warehouse operatives, and van drivers. Avail offers fast hiring solutions that help businesses reduce agency costs and improve shift fill rates. For drivers, it provides flexible job opportunities with fair pay and an easy-to-use app for finding shifts. Avail also partners with Exceed Outsourcing for payroll services and offers additional support like invoice finance and digital marketing to enhance business reach.","driver shortage; recruitment platform; hgv drivers; logistics; driver platform; haulage; transport solutions; transport; temporary work; hauliers; couriers; van drivers; owner drivers; saas; marketplaces; real estate; rental housing; consumer internet; enterprise software; information technology; internet; software; transportation, logistics, supply chain & storage; transportation; staff retention in logistics",AI; Apache; Circle; DigitalOcean; Facebook Custom Audiences; Facebook Login (Connect); Facebook Widget; Gmail; Google Apps; Google Font API; Google Tag Manager; Gravity Forms; Mobile Friendly; Remote; Shutterstock; Ubuntu; WordPress.org; reCAPTCHA,847587,Seed,2021-04-19T00:00:00.000+00:00,5da52d79df8d1e00014f3166,
BQE,Exhibitor,"Provider of BQE CORE, an integrated platform for project management, time tracking, billing, and accounting for professional services firms.",BQE,high,0.8,"name:partial ('bqe software' vs 'bqe'); class_overlap:9 (accounting,billing,firms,integrated,management); desc_overlap:10",BQE Software,bqe.com,http://www.bqe.com,http://www.linkedin.com/company/bqe-software,https://twitter.com/bqesoftware,https://www.facebook.com/bqesoftware/,information technology & services,330,54800000.0,1995,West Hollywood,California,United States,+1 310-602-4020,"BQE Software, based in Torrance, California, was founded in 1995 by architect Shafat Qazi and engineer David Breiholz. The company specializes in business management software tailored for professional services firms, particularly in architecture and engineering, as well as related fields like accounting and consulting. Over its 30-year history, BQE has developed cloud-based solutions to streamline operations and enhance efficiency for its users.

The flagship product, BQE CORE, is a comprehensive platform that centralizes time tracking, project management, accounting, and billing. It replaces the legacy BillQuick software and offers features such as real-time budget tracking, invoicing, and data-driven planning. BQE CORE is designed for A&E firms and has gained over 3,000 users, including notable clients like Eagle Engineering and Circular. The company emphasizes continuous improvement and customer feedback, ensuring that its solutions evolve to meet the needs of its users.",time tracking software; time billing software; project accounting software; hr management software; invoicing software; professional services automation; business management software; project management software; accounting software; software development; invoice processing; resource management; firm efficiency tools; integrated platform; client relationship management; professional services saas; project profitability management; architecture and engineering; data analytics; billing automation; project profitability; resource planning; user community; project accounting; automation tools,.NET; AI; API Gateway; ASG Zeke; ASP.NET; AWS CloudTrail; AWS Trusted Advisor; Amazon CloudWatch; Amazon EC2; Amazon S3; Amazon Virtual Private Cloud (Amazon VPC); Amplitude; BILL; C#; CSS; Campaign Monitor; Elasticsearch; Facebook Custom Audiences; Facebook Login (Connect); Facebook Widget; Git; Google AdWords Conversion; Google Analytics; Google Font API; Google Tag Manager; HTML5 Maker; Hubspot; Intercom; Javascript; Jira; Jira Service Management; Lambda Cloud; Linkedin Marketing Solutions; Logz.io; Microsoft Excel; Microsoft Office 365; Microsoft PowerShell; Microsoft SQL Server Reporting Services; Microsoft Sql Server; Microsoft.NET 5.0; Microsoft.NET Core 3.1; Mobile Friendly; Nevron Vision for SSRS; New Relic; OpenSearch; Outlook; Python; Rackspace MailGun; React; SQL; Salesforce; Sendgrid; Shutterstock; Slack; Typekit; Visual Website Optimizer; VueJS; Woo Commerce; WordPress.org; Zendesk; Zoomdata,,Debt Financing,2023-04-01T00:00:00.000+00:00,54a134c969702d2db47cc500,
